;CU;SH;MR
fehlen ;3;3;3
essen ;4;5;4
aufessen ;4;4;4
nehmen ;2;2;2
besitzen ;3;3;3
vorherrschen ;3;3;3
hﾄmmern ;5;5;5
stehlen ;2;1;1
befehlen ;2;2;1
erﾔrtern ;5;5;4
erlauben ;2;2;1
existieren ;3;3;3
halten ;5;5;3
einschlafen ;4;4;2
mieten ;2;3;1
anfangen ;2;2;2
melden ;2;1;3
fallen ;5;5;5
abweichen ;2;3;2
abschaffen ;1;2;1
weitersagen ;2;1;1
vermieten ;2;3;1
auftreten ;5;5;3
richten ;2;2;3
denken ;0;3;5
beachten ;0;3;2
leihen ;2;3;1
schmelzen ;1;1;1
ﾁbersehen ;2;5;2
bestehen ;3;3;2
stattfinden ;2;3;5
entstehen ;1;1;2
liegen ;5;3;3
ﾁbereinstimmen ;3;3;3
vorkommen ;3;3;3
verlieren ;2;1;2
vorhanden ;0;3;3
aussetzen ;2;1;1
vergehen ;0;5;2
einschlﾄfern ;1;1;1
vereinbaren ;2;2;1
schrumpfen ;5;5;1
grﾁnden ;1;2;1
dﾁrfen ;3;3;3
ﾄndern ;2;1;1
laufen ;5;5;5
behalten ;2;3;3
zunehmen ;5;5;1
testen ;5;1;1
betreffen ;3;3;3
herstellen ;1;1;1
verﾄndern ;1;1;1
wachsen ;5;5;5
kaufen ;4;4;4
sagen ;5;1;5
angehﾔren ;3;3;3
bilden ;3;3;1
ausprobieren ;5;5;4
vorgehen ;5;5;5
orientieren ;5;5;5
untersuchen ;1;1;4
verhindern ;2;1;1
hinzukommen ;2;2;2
verraten ;2;1;5
diskutieren ;5;5;4
verkﾁnden ;1;1;1
organisieren ;1;1;5
bekanntgeben ;2;1;5
geben ;2;1;1
nachprﾁfen ;2;1;4
verkaufen ;4;2;1
kﾔnnen ;0;3;3
senken ;5;5;1
vorliegen ;3;3;3
abgrenzen ;2;3;1
sein ;0;3;3
ansteigen ;5;5;5
verlﾄngern ;5;2;1
dauern ;3;3;3
entwickeln ;1;1;1
bedenken ;3;5;4
ﾁbermitteln ;1;1;1
aufbauen ;1;1;1
unterscheiden ;3;3;4
mﾁssen ;0;3;3
eingehen ;1;2;5
schneiden ;5;5;1
mitteilen ;2;1;1
beraten ;5;5;4
sinken ;5;5;5
erscheinen ;5;2;3
sterben ;5;2;2
zersﾄgen ;1;1;1
folgen ;5;5;3
ausdehnen ;5;5;1
