;OMR;CU;SH
fehlen ;3;3;3
essen ;5;4;5
aufessen ;4;4;4
nehmen ;2;2;2
besitzen ;3;3;3
vorherrschen ;3;3;3
hﾄmmern ;5;5;5
stehlen ;4;2;1
befehlen ;2;2;2
erﾔrtern ;5;5;5
erlauben ;2;2;2
existieren ;3;3;3
halten ;3;5;5
einschlafen ;4;4;4
mieten ;3;2;3
anfangen ;2;2;2
melden ;2;2;1
fallen ;5;5;5
abweichen ;3;2;3
abschaffen ;2;1;2
weitersagen ;1;2;1
vermieten ;3;2;3
auftreten ;1;5;5
richten ;2;2;2
denken ;5;0;3
beachten ;3;0;3
leihen ;3;2;3
schmelzen ;4;1;1
ﾁbersehen ;2;2;5
bestehen ;2;3;3
stattfinden ;3;2;3
entstehen ;4;1;1
liegen ;3;5;3
ﾁbereinstimmen ;3;3;3
vorkommen ;3;3;3
verlieren ;2;2;1
vorhanden ;0;0;3
aussetzen ;3;2;1
vergehen ;4;0;5
einschlﾄfern ;2;1;1
vereinbaren ;1;2;2
schrumpfen ;5;5;5
grﾁnden ;1;1;2
dﾁrfen ;3;3;3
ﾄndern ;1;2;1
laufen ;5;5;5
behalten ;3;2;3
zunehmen ;5;5;5
testen ;1;5;1
betreffen ;3;3;3
herstellen ;1;1;1
verﾄndern ;1;1;1
wachsen ;5;5;5
kaufen ;4;4;4
sagen ;1;5;1
angehﾔren ;3;3;3
bilden ;1;3;3
ausprobieren ;4;5;5
vorgehen ;1;5;5
orientieren ;0;5;5
untersuchen ;5;1;1
verhindern ;2;2;1
hinzukommen ;1;2;2
verraten ;1;2;1
diskutieren ;5;5;5
verkﾁnden ;2;1;1
organisieren ;5;1;1
bekanntgeben ;2;2;1
geben ;2;2;1
nachprﾁfen ;1;2;1
verkaufen ;1;4;2
kﾔnnen ;3;0;3
senken ;1;5;5
vorliegen ;3;3;3
abgrenzen ;1;2;3
sein ;3;0;3
ansteigen ;1;5;5
verlﾄngern ;1;5;2
dauern ;3;3;3
entwickeln ;1;1;1
bedenken ;4;3;5
ﾁbermitteln ;2;1;1
aufbauen ;1;1;1
unterscheiden ;3;3;3
mﾁssen ;3;0;3
eingehen ;4;1;2
schneiden ;5;5;5
mitteilen ;2;2;1
beraten ;5;5;5
sinken ;5;5;5
erscheinen ;2;5;2
sterben ;2;5;2
zersﾄgen ;1;1;1
folgen ;3;5;5
ausdehnen ;1;5;5
